dt,equity,event,condition_id
2023-02-13T03:10:00+00:00,10000.0,open,0x506796c1fb3bbc85ca33427fcf8df6136896d9c4b7abec36e7b9a9e6b074621e
2023-02-13T03:20:00+00:00,9997.519415760002,close,0x506796c1fb3bbc85ca33427fcf8df6136896d9c4b7abec36e7b9a9e6b074621e
2023-03-16T13:00:00+00:00,9997.519415760002,open,0x8e93a6d09bd936035b48e503d5227bc71b088e47027fffc8a122d82b0132004b
2023-03-16T14:00:00+00:00,10155.663461047568,close,0x8e93a6d09bd936035b48e503d5227bc71b088e47027fffc8a122d82b0132004b
2023-04-04T01:10:00+00:00,10155.663461047568,open,0xaf5a51149af84eb56e5168ad63dd881bf7303754b927ae20f311831861f0844a
2023-04-04T05:10:00+00:00,10068.785625632461,close,0xaf5a51149af84eb56e5168ad63dd881bf7303754b927ae20f311831861f0844a
2023-04-04T11:10:00+00:00,10068.785625632461,open,0xaf5a51149af84eb56e5168ad63dd881bf7303754b927ae20f311831861f0844a
2023-04-04T15:30:00+00:00,10193.09532128213,close,0xaf5a51149af84eb56e5168ad63dd881bf7303754b927ae20f311831861f0844a
2023-05-14T16:10:00+00:00,10193.09532128213,open,0x499b551f47b01d663596cdbc9489f01dac305e6702fd49085712b96b116be46d
2023-05-14T19:20:00+00:00,10193.09532128213,open,0x499b551f47b01d663596cdbc9489f01dac305e6702fd49085712b96b116be46d
2023-05-14T20:10:00+00:00,8973.968648174618,close,0x499b551f47b01d663596cdbc9489f01dac305e6702fd49085712b96b116be46d
2023-05-14T22:00:00+00:00,10432.732223273591,close,0x499b551f47b01d663596cdbc9489f01dac305e6702fd49085712b96b116be46d
2023-05-28T16:30:00+00:00,10432.732223273591,open,0x8895c71559123f885ae8814ec3b520fe6096ffa95db310ce1c8e3451a0b85b44
2023-05-28T16:50:00+00:00,10430.735395306552,close,0x8895c71559123f885ae8814ec3b520fe6096ffa95db310ce1c8e3451a0b85b44
2023-06-02T13:00:00+00:00,10430.735395306552,open,0x0657359482ea5edbfaa1f4de81b38a4c0d24e8e0c29be7012b0629a95dabdffc
2023-06-02T20:10:00+00:00,10409.894397802436,close,0x0657359482ea5edbfaa1f4de81b38a4c0d24e8e0c29be7012b0629a95dabdffc
